R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
189,234,193,168,212,161,187,246,215,161,212,175,207,105,0
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
0,128,128,154,205,50,184,134,11,255,165,0,128,0,0
85,107,47,205,92,92,0,139,139,173,216,230,107,142,35
124,252,0,240,128,128,30,144,255,152,251,152,123,104,238
0,128,0,127,255,0,255,192,203,65,105,225,152,251,152
34,139,34,176,224,230,46,139,87,0,206,209,0,100,0
60,179,113,222,184,135,0,255,127,135,206,250,46,139,87
0,100,0,255,20,147,0,205,205,46,139,87,144,238,144
152,251,152,218,165,32,30,144,255,85,107,47,0,128,0
0,205,0,250,128,114,0,100,0,240,230,140,46,139,87
107,142,35,238,130,238,0,255,0,32,178,170,144,238,144
46,139,87,139,69,19,34,139,34,210,180,140,0,128,0
0,128,128,154,205,50,184,134,11,255,165,0,128,0,0
85,107,47,205,92,92,0,139,139,173,216,230,107,142,35
124,252,0,240,128,128,30,144,255,152,251,152,123,104,238
0,128,0,127,255,0,255,192,203,65,105,225,152,251,152
34,139,34,176,224,230,46,139,87,0,206,209,0,100,0
60,179,113,222,184,135,0,255,127,135,206,250,46,139,87
0,100,0,255,20,147,0,205,205,46,139,87,144,238,144
152,251,152,218,165,32,30,144,255,85,107,47,0,128,0
0,205,0,250,128,114,0,100,0,240,230,140,46,139,87
107,142,35,238,130,238,0,255,0,32,178,170,144,238,144
46,139,87,139,69,19,34,139,34,210,180,140,0,128,0
0,128,128,154,205,50,184,134,11,255,165,0,128,0,0
85,107,47,205,92,92,0,139,139,173,216,230,107,142,35
124,252,0,240,128,128,30,144,255,152,251,152,123,104,238
0,128,0,127,255,0,255,192,203,65,105,225,152,251,152
34,139,34,176,224,230,46,139,87,0,206,209,0,100,0
60,179,113,222,184,135,0,255,127,135,206,250,46,139,87
0,100,0,255,20,147,0,205,205,46,139,87,144,238,144
152,251,152,218,165,32,30,144,255,85,107,47,0,128,0
0,205,0,250,128,114,0,100,0,240,230,140,46,139,87
107,142,35,238,130,238,0,255,0,32,178,170,144,238,144
46,139,87,139,69,19,34,139,34,210,180,140,0,128,0
0,128,128,154,205,50,184,134,11,255,165,0,128,0,0
85,107,47,205,92,92,0,139,139,173,216,230,107,142,35
124,252,0,240,128,128,30,144,255,152,251,152,123,104,238
0,128,0,127,255,0,255,192,203,65,105,225,152,251,152
34,139,34,176,224,230,46,139,87,0,206,209,0,100,0
60,179,113,222,184,135,0,255,127,135,206,250,46,139,87
0,100,0,255,20,147,0,205,205,46,139,87,144,238,144
85,107,47,205,92,92,0,139,139,173,216,230,107,142,35
124,252,0,240,128,128,30,144,255,152,251,152,123,104,238
0,128,0,127,255,0,255,192,203,65,105,225,152,251,152
34,139,34,176,224,230,46,139,87,0,206,209,0,100,0
60,179,113,222,184,135,0,255,127,135,206,250,46,139,87
0,100,0,255,20,147,0,205,205,46,139,87,144,238,144
152,251,152,218,165,32,30,144,255,85,107,47,0,128,0
0,205,0,250,128,114,0,100,0,240,230,140,46,139,87
107,142,35,238,130,238,0,255,0,32,178,170,144,238,144
46,139,87,139,69,19,34,139,34,210,180,140,0,128,0
0,128,0,139,195,74,255,255,0,30,144,255,46,139,87
50,205,50,60,179,113,255,165,0,152,251,152,0,100,0
0,255,0,127,255,0,46,139,87,0,128,0,0,205,0
152,251,152,0,128,0,0,205,0,60,179,113,107,142,35
0,100,0,0,205,0,0,128,0,46,139,87,144,238,144
85,107,47,34,139,34,124,252,0,0,255,0,152,251,152
60,179,113,0,205,0,46,139,87,0,128,0,107,142,35
34,139,34,152,251,152,0,100,0,0,205,0,144,238,144
0,128,0,127,255,0,46,139,87,85,107,47,0,205,0
144,238,144,0,128,0,50,205,50,0,100,0,85,107,47
152,251,152,255,228,181,218,165,32,60,179,113,34,139,34
46,139,87,0,205,0,154,205,50,0,100,0,107,142,35
144,238,144,255,222,173,124,252,0,46,139,87,0,128,0
0,100,0,107,142,35,127,255,0,50,205,50,154,205,50
85,107,47,0,128,0,0,205,0,0,128,0,127,255,0
34,139,34,0,255,0,152,251,152,60,179,113,0,205,0
50,205,50,0,128,0,46,139,87,0,255,0,127,255,0
0,128,0,124,252,0,85,107,47,144,238,144,0,205,0
152,251,152,0,100,0,60,179,113,46,139,87,34,139,34
0,205,0,0,128,0,107,142,35,144,238,144,85,107,47
144,238,144,255,228,225,255,160,122,205,92,92,255,140,0
0,128,0,255,255,224,139,69,19,0,250,154,85,107,47
34,139,34,0,100,0,255,105,180,70,130,180,255,127,80
0,100,0,30,144,255,255,182,193,128,128,128,255,165,0
50,205,50,0,250,154,46,139,87,0,128,0,255,140,0
85,107,47,0,255,127,60,179,113,46,139,87,0,100,0
0,128,128,127,255,212,34,139,34,144,238,144,255,228,225
60,179,113,0,255,127,0,128,0,0,250,154,139,69,19
0,255,127,0,100,0,50,205,50,255,228,225,255,160,122
127,255,212,0,128,0,85,107,47,30,144,255,255,182,193
102,132,153,202,227,236,235,222,206,167,185,202,238,130,238
92,117,137,181,212,223,230,206,189,139,156,179,209,106,210
116,143,165,216,232,238,238,218,206,162,174,186,227,106,184
94,119,138,162,198,217,219,208,192,132,151,164,189,88,189
75,97,113,168,205,219,210,184,171,126,145,156,175,88,175
87,108,125,187,211,222,214,193,179,144,160,172,201,88,202
109,133,153,216,231,237,234,213,201,156,168,180,217,106,208
96,117,134,165,198,213,205,183,170,131,148,160,181,88,182
81,100,116,145,175,193,185,163,150,115,130,141,163,70,162
70,87,101,120,146,164,154,135,124,97,111,120,142,70,143
114,139,159,198,217,227,226,206,195,148,162,175,210,106,210
101,123,141,176,202,218,209,186,175,134,148,160,192,88,192
77,109,70,152,214,133,228,192,94,48,97,36,204,204,255
140,186,108,223,240,216,199,230,183,73,102,77,255,230,204
114,159,93,233,241,199,208,219,137,60,73,35,255,204,153
124,155,97,236,220,100,218,247,166,85,107,47,255,255,204
89,119,58,194,223,167,226,207,158,51,68,36,153,204,153
104,145,77,225,239,199,207,227,159,68,91,51,204,255,204
91,118,73,180,217,156,217,230,163,67,89,50,255,255,153
105,132,78,215,194,140,227,239,170,76,97,55,255,255,102
80,104,64,173,206,156,215,235,159,64,83,48,204,255,153
94,118,72,189,187,88,223,237,150,73,90,46,255,255,153
83,101,68,150,193,139,221,229,153,59,74,43,255,255,102
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
93,192,183,143,200,193,222,229,196,238,121,47,231,80,85
81,174,135,120,181,151,221,230,188,234,108,47,212,55,170
109,190,147,156,193,126,236,238,205,237,119,34,210,45,65
116,196,160,171,206,147,230,238,198,229,111,26,199,35,55
124,203,172,186,218,167,224,238,191,220,104,17,189,25,45
131,210,185,201,231,188,218,238,184,211,96,9,178,15,35
139,216,197,216,244,210,212,238,176,203,89,0,168,5,25
147,223,209,231,255,231,206,238,169,195,81,0,157,0,15
154,230,221,246,255,252,200,238,161,187,74,0,147,0,5
162,237,233,255,255,255,195,238,154,179,67,0,136,0,0
170,243,245,255,255,255,190,238,147,171,60,0,126,0,0
178,250,255,255,255,255,185,238,139,163,53,0,116,0,0
185,255,255,255,255,255,180,238,132,155,46,0,106,0,0
193,255,255,255,255,255,175,238,125,147,39,0,96,0,0
200,255,255,255,255,255,170,238,117,139,32,0,86,0,0
208,255,255,255,255,255,165,238,110,131,25,0,76,0,0
216,255,255,255,255,255,160,238,103,123,18,0,66,0,0
223,255,255,255,255,255,155,238,95,115,11,0,56,0,0
231,255,255,255,255,255,150,238,88,107,4,0,46,0,0
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
193,179,152,96,89,81,251,238,194,97,166,171,172,206,192
141,204,173,152,136,100,254,166,162,249,214,172,255,233,175
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
